sample_size,seed_a,seed_b,ARI
20000,1,7,0.28729456713721985
20000,1,21,0.33510213739581624
20000,1,42,0.3613959674501677
20000,1,88,0.35279934674004193
20000,7,21,0.2636856697108986
20000,7,42,0.37982860813629166
20000,7,88,0.34959753299624063
20000,21,42,0.49384618847704587
20000,21,88,0.5616245271921204
20000,42,88,0.712744951715547
50000,1,7,0.44063954159411156
50000,1,21,0.2872224106952561
50000,1,42,0.442851450722194
50000,1,88,0.3954707230074809
50000,7,21,0.3776703256540492
50000,7,42,0.37570319866376284
50000,7,88,0.4340511969581753
50000,21,42,0.30557861941922865
50000,21,88,0.3207044503582661
50000,42,88,0.3548625039862577
100000,1,7,0.43724076556707564
100000,1,21,0.4374567564896985
100000,1,42,0.3797295919360737
100000,1,88,0.42664991448203976
100000,7,21,0.46234244911185374
100000,7,42,0.5390893408694263
100000,7,88,0.4132091246819718
100000,21,42,0.6205605698781338
100000,21,88,0.5443399406785152
100000,42,88,0.4817603123687301
