feature,importance,feature_type
num__ONSET_INTERVAL,0.21238310759067486,structured
binary__LAB_DATA_MISSING,0.16864854929976775,structured
concomitant,0.04983299221731213,text
binary__LAB_DATA__other,0.028527165723299695,structured
called,0.028390861950721352,text
num__AGE_YRS,0.019952185627416665,structured
care,0.01983681730982531,text
iv,0.017818514820668565,text
num__NUMDAYS,0.01699957827908718,structured
chest,0.013362806824518377,text
cause,0.012059605438436257,text
evaluation,0.010115329358055185,text
cat__STATE_UNKNOWN,0.00957477005923203,structured
mrna,0.008628606113848362,text
patient,0.008397088007819221,text
acute,0.008115266641375908,text
site,0.007862522975632067,text
events,0.0077332212019381045,text
arm,0.007698350685523106,text
stroke,0.007187528709678989,text
binary__LAB_DATA__vitals_procedures,0.0065478542996444,structured
weeks receiving,0.00597165899391183,text
chills,0.0052461605781930635,text
positive,0.004971942743414596,text
epinephrine,0.004687596236386388,text
epi,0.004679977044603784,text
covid,0.004296142267136369,text
seizure,0.004168830708652816,text
relationship,0.0039041024853948294,text
breath,0.003896285133541484,text
went,0.003855149678137081,text
doctor,0.003475765945204716,text
systemic,0.003475423015164983,text
caused,0.0034535620601766014,text
binary__HISTORY__cardiovascular,0.003412388904260342,structured
event,0.0029098160064609823,text
binary__OTHER_MEDS_MISSING,0.0028492920364155366,structured
arrived,0.0027713083275757956,text
injection,0.002756795677017935,text
heart,0.0026104206107258176,text
vaccine,0.002545805762559731,text
num__MAX_DOSE,0.0024712434550146333,structured
consumer describes,0.0023285490272159175,text
period,0.0023069816180027796,text
cat__MONTH_8,0.0022643289162409394,structured
headache,0.0020328789057344108,text
did result,0.0020145785484122097,text
injection site,0.0019912655845195338,text
taken,0.0019660202243307707,text
adverse,0.0019070405061440098,text
chest pain,0.00184318583836821,text
days,0.0018285046474476136,text
throat,0.0018152530904433396,text
medical,0.0017983951950897841,text
positive covid,0.0017905886274237085,text
health care,0.0017605084409241065,text
red,0.0017414457249138164,text
cat__YEAR_2021,0.0016526724044008346,structured
lymph,0.0016494248131507085,text
nose,0.0015852947112276507,text
symptoms,0.001548417175678136,text
comments,0.0015301803065265658,text
mrna moderna,0.001522302886792882,text
blood,0.0015144773223749284,text
lasted,0.0015094224738256415,text
paxlovid,0.0014264209223946635,text
temperature,0.0014241964166965,text
date,0.0014147551916854067,text
fever,0.001370125055255454,text
rash,0.0013491588808869626,text
fatigue,0.0013247219154603766,text
single,0.0012951239687373343,text
suspension,0.0012932871537632113,text
provided time,0.0012512981903369893,text
cat__SEX_M,0.0012473392948520346,structured
aches,0.0012471314590747832,text
received,0.001232907758528364,text
started,0.0011967587834973898,text
dose,0.0011905337458600208,text
binary__ALLERGIES_MISSING,0.0011737172583072555,structured
tested positive,0.0011528169988880886,text
pain,0.0011462169739580419,text
hours,0.0011441859737557655,text
cough,0.0011256115275419404,text
breathing,0.001110401177266917,text
second,0.001109109929756774,text
evaluated,0.001105012716016937,text
breakthrough covid,0.0010846089653303598,text
day,0.0010819780200871244,text
better,0.0010581596600134629,text
office,0.0010540955594961654,text
primary,0.0010290221849192697,text
patient received,0.0010256744603392427,text
dose mrna,0.0010100645878696665,text
reporter,0.0010071469146383683,text
tested,0.0009862416619633811,text
events did,0.0009661363953224293,text
minutes,0.0009637353408157172,text
shot,0.0009609309867909326,text
available appropriate,0.0009449806742164717,text
company comment,0.0009443763862596599,text
did,0.0009209741837851895,text
just,0.0008907300506122963,text
test,0.0008659973662546566,text
