feature,num_splits
num__AGE_YRS,78
num__ONSET_INTERVAL,31
covid,30
patient,26
arm,25
vaccine,22
received,20
care,19
went,18
days,16
headache,16
num__NUMDAYS,15
symptoms,15
rash,14
started,14
tested,14
pain,14
time,14
chills,13
weeks,13
dose,13
doctor,13
injection,13
blood,13
day,12
fatigue,12
second,12
fever,12
left,11
like,11
hours,11
heart,11
positive,11
chest,11
body,10
num__MAX_DOSE,10
felt,10
binary__LAB_DATA_MISSING,10
home,9
sore,9
positive covid,9
events,9
itchy,8
cat__YEAR_2022,8
cat__STATE_CA,8
event,8
adverse,8
tested positive,8
evaluated,8
concomitant,8
experienced,8
binary__MANU__PFIZER\BIONTECH,8
binary__OTHER_MEDS_MISSING,8
did,8
moderna,8
nose,8
binary__DOSE_COUNT,8
feel,8
test,8
lasted,8
aches,8
treatment,8
left arm,7
red,7
th,7
consumer,7
binary__PRIOR_VAX_MISSING,7
site,7
cat__MONTH_1,7
cough,7
injection site,7
information,7
medical,7
cat__MONTH_6,7
cat__SEX_M,7
covid vaccine,6
paxlovid,6
history included,6
taken,6
binary__CUR_ILL_MISSING,6
cat__STATE_MI,6
today,6
medications,6
binary__UNKNOWN_DOSE,6
clinic,6
hives,6
reaction,6
receiving,6
date,6
upper,6
feeling,6
patient received,6
right,6
provided,6
cold,6
dizziness,6
lymph,6
diagnosed,6
binary__ALLERGIES_MISSING,5
cat__MONTH_7,5
follow-up,5
normal,5
just,5
tightness,5
called,5
refused,5
night,5
breakthrough,5
pm,5
cat__MONTH_12,5
itching,5
cat__MONTH_8,5
evaluation,5
prescribed,5
told,5
booster,5
starting,5
cat__YEAR_2021,5
medical history,5
week,5
came,5
loss,5
throat,5
benadryl,5
pt,5
months,5
congestion,5
cat__MONTH_3,5
mrna,5
vaccination,5
temperature,5
binary__LAB_DATA__vitals_procedures,5
single,5
binary__MANU__JANSSEN,5
better,5
high,4
cat__MONTH_9,4
cat__STATE_FL,4
cat__SEX_F,4
patient did,4
work,4
tingling,4
mar,4
stroke,4
low,4
non,4
year-old,4
redness,4
pressure,4
binary__HISTORY__mental_health,4
muscle,4
cat__MONTH_11,4
cat__MONTH_2,4
breathing,4
batch,4
treated,4
took,4
breath,4
available,4
away,4
legs,4
morning,4
stored,4
went care,4
cat__MONTH_4,4
saw,4
pfizer,4
given,4
head,4
required,4
acute,4
included,4
minutes,4
area,4
menstrual,4
iv,4
primary care,4
going,4
shoulder,4
stomach,4
medication,4
swelling,4
vaccinated,4
diarrhea,3
trouble,3
binary__HISTORY__respiratory,3
eye,3
went away,3
seizure,3
lot,3
unspecified,3
knees,3
passed,3
use,3
cat__STATE_PA,3
temp,3
nausea,3
female,3
binary__MANU__MODERNA,3
drip,3
binary__OTHER_MEDS__thyroid_meds,3
sore throat,3
shortness,3
administration,3
usually,3
leg,3
error,3
steroid,3
year-old female,3
covid immunization,3
nd,3
weakness,3
reaction vaccine,3
present,3
ear,3
did result,3
comments,3
contactable consumer,3
care professional,3
cat__STATE_MO,3
mrna moderna,3
monday,3
aug,3
contact,3
arthritis,3
events did,3
follow,3
contracted covid,3
measures,3
excluded,3
effects,3
receive,3
monitored,3
prednisone,3
progressed,3
hypersensitivity,3
vaccines,3
shingles,3
ongoing,3
described,3
inhaler,3
chest pain,3
binary__HISTORY__cardiovascular,3
declined,3
advised,3
action,3
developed,3
vitals,3
joint,3
information patient,3
dr,3
hands,3
fine,3
vaccine given,3
period,3
continued,3
binary__MULTI_DOSE,3
rapid,3
ultrasound,3
history,3
binary__HISTORY_MISSING,3
tired,3
states,3
life,3
said,3
patient age,3
based,3
seek medical,3
cleared,3
didn,3
jan,3
consumer describes,3
sure,3
results,3
ears,3
oxygen,3
caused,3
happened,3
primary,3
