feature,importance,feature_type
num__ONSET_INTERVAL,0.21238310759067486,structured
binary__LAB_DATA_MISSING,0.16864854929976775,structured
binary__LAB_DATA__other,0.028527165723299695,structured
num__AGE_YRS,0.019952185627416665,structured
num__NUMDAYS,0.01699957827908718,structured
cat__STATE_UNKNOWN,0.00957477005923203,structured
binary__LAB_DATA__vitals_procedures,0.0065478542996444,structured
binary__HISTORY__cardiovascular,0.003412388904260342,structured
binary__OTHER_MEDS_MISSING,0.0028492920364155366,structured
num__MAX_DOSE,0.0024712434550146333,structured
cat__MONTH_8,0.0022643289162409394,structured
cat__YEAR_2021,0.0016526724044008346,structured
cat__SEX_M,0.0012473392948520346,structured
binary__ALLERGIES_MISSING,0.0011737172583072555,structured
binary__LAB_DATA__cardiac_markers,0.0007299241948873661,structured
binary__HISTORY_MISSING,0.0005544696851856579,structured
binary__PRIOR_VAX_MISSING,0.0004729992676932006,structured
binary__UNKNOWN_DOSE,0.00045092349669346126,structured
binary__DOSE_COUNT,0.00041499975531343776,structured
binary__HISTORY__respiratory,0.0004017785460342723,structured
cat__YEAR_2023,0.00038134101804307874,structured
cat__MONTH_7,0.0003593460782550167,structured
cat__STATE_MI,0.00035180920506360934,structured
cat__MONTH_2,0.000349635052230013,structured
binary__OTHER_MEDS__other,0.00032334562242958146,structured
cat__MONTH_10,0.000291439782181402,structured
cat__STATE_OK,0.0002603186362600373,structured
cat__MONTH_6,0.0002453139042748067,structured
cat__MONTH_3,0.0002383971719092689,structured
binary__CUR_ILL_MISSING,0.00023784963025986087,structured
cat__YEAR_2022,0.0002264053614159012,structured
binary__ALLERGIES__drug_allergy,0.00022139693552949857,structured
binary__CUR_ILL__other,0.00021458670816060333,structured
cat__STATE_VA,0.00020552659861352714,structured
cat__SEX_F,0.00020001645299472264,structured
cat__STATE_IN,0.00018939040429236809,structured
cat__STATE_MN,0.00017551722138051652,structured
binary__MANU__PFIZER_BIONTECH,0.00015674365223085807,structured
cat__STATE_NJ,0.00015544804975126667,structured
cat__STATE_MA,0.00015159733254835016,structured
binary__HISTORY__kidney,0.0001451956381256459,structured
cat__STATE_MS,0.00014444185214043437,structured
binary__MULTI_MANUFACTURER,0.00014427074707037545,structured
binary__OTHER_MEDS__statin,0.00013577961142704483,structured
binary__ALLERGIES__other,0.00013569742714393643,structured
binary__HISTORY__neurologic,0.00013409524659324442,structured
binary__MANU__MODERNA,0.00013306093438002938,structured
binary__HISTORY__cancer_immunocompromised,0.00012934652353615355,structured
cat__MONTH_1,0.00012614041441619177,structured
binary__ALLERGIES__latex_other_contact,0.00012120724687864076,structured
