feature,coefficient,abs_coefficient,feature_type
num__AGE_YRS,1.3848690222756406,1.3848690222756406,structured
num__NUMDAYS,1.4746792302805223,1.4746792302805223,structured
num__ONSET_INTERVAL,-0.313987154287229,0.313987154287229,structured
num__MAX_DOSE,-0.7775553090556905,0.7775553090556905,structured
cat__SEX_F,-0.3355736334488477,0.3355736334488477,structured
cat__SEX_M,-0.11063742698854491,0.11063742698854491,structured
cat__SEX_U,-0.3913888322258509,0.3913888322258509,structured
cat__SEX_UNKNOWN,0.08669179683229336,0.08669179683229336,structured
cat__STATE_AK,-0.14043843291108454,0.14043843291108454,structured
cat__STATE_AL,-0.13914927636591298,0.13914927636591298,structured
cat__STATE_AR,-0.028693497927824465,0.028693497927824465,structured
cat__STATE_AS,0.3615491813995347,0.3615491813995347,structured
cat__STATE_AZ,-0.2313375318976927,0.2313375318976927,structured
cat__STATE_CA,-0.03626924459993455,0.03626924459993455,structured
cat__STATE_CO,0.055554906453007105,0.055554906453007105,structured
cat__STATE_CT,-0.07135661730507896,0.07135661730507896,structured
cat__STATE_DC,0.15272840493957024,0.15272840493957024,structured
cat__STATE_DE,0.08840924186131925,0.08840924186131925,structured
cat__STATE_FL,0.018977912838502788,0.018977912838502788,structured
cat__STATE_FM,0.009651062770476974,0.009651062770476974,structured
cat__STATE_GA,-0.13074124348427751,0.13074124348427751,structured
cat__STATE_GU,-0.8289781513024603,0.8289781513024603,structured
cat__STATE_HI,-0.15652084101501548,0.15652084101501548,structured
cat__STATE_IA,0.16130646105687807,0.16130646105687807,structured
cat__STATE_ID,-0.20047575976052734,0.20047575976052734,structured
cat__STATE_IL,0.04601069007603438,0.04601069007603438,structured
cat__STATE_IN,-0.39082847462234865,0.39082847462234865,structured
cat__STATE_KS,-0.1418932627588727,0.1418932627588727,structured
cat__STATE_KY,0.2946505464522139,0.2946505464522139,structured
cat__STATE_LA,0.19659146389649657,0.19659146389649657,structured
cat__STATE_MA,-0.00994944346175936,0.00994944346175936,structured
cat__STATE_MD,0.006686886241137753,0.006686886241137753,structured
cat__STATE_ME,-0.11453964836337964,0.11453964836337964,structured
cat__STATE_MH,0.9340261299750846,0.9340261299750846,structured
cat__STATE_MI,0.28609390239739796,0.28609390239739796,structured
cat__STATE_MN,0.18128497980520195,0.18128497980520195,structured
cat__STATE_MO,0.2558917286145007,0.2558917286145007,structured
cat__STATE_MP,0.2662889290140299,0.2662889290140299,structured
cat__STATE_MS,-0.11496700999254737,0.11496700999254737,structured
cat__STATE_MT,0.1250312770352818,0.1250312770352818,structured
cat__STATE_NC,-0.10697749980383525,0.10697749980383525,structured
cat__STATE_ND,0.3234105277140027,0.3234105277140027,structured
cat__STATE_NE,-0.13791331628700373,0.13791331628700373,structured
cat__STATE_NH,-0.16434577608193238,0.16434577608193238,structured
cat__STATE_NJ,-0.1843761505383001,0.1843761505383001,structured
cat__STATE_NM,-0.14351802818517576,0.14351802818517576,structured
cat__STATE_NV,0.025219888751267253,0.025219888751267253,structured
cat__STATE_NY,0.01535895940413821,0.01535895940413821,structured
cat__STATE_OH,-0.016302775625248962,0.016302775625248962,structured
cat__STATE_OK,-0.03507541856065538,0.03507541856065538,structured
cat__STATE_OR,-0.025565144143356967,0.025565144143356967,structured
