feature,coefficient,abs_coefficient,feature_type
did result,-5.963533507499575,5.963533507499575,text
events did,-5.649612181689219,5.649612181689219,text
stored,-3.89813088710341,3.89813088710341,text
bud,-3.7783832542004925,3.7783832542004925,text
non onset,-3.6649400392517935,3.6649400392517935,text
experienced non,-3.5105444543846027,3.5105444543846027,text
vaccine expired,-3.416108553443752,3.416108553443752,text
expired vaccine,-3.4037813646452912,3.4037813646452912,text
use date,-3.379476280804969,3.379476280804969,text
refused,-3.3054675177685118,3.3054675177685118,text
result doctor,-3.2361655032622356,3.2361655032622356,text
condition sender,-3.1863215020481817,3.1863215020481817,text
freezer,-2.948738288572989,2.948738288572989,text
instead,-2.938875844148227,2.938875844148227,text
adverse,-2.908035448515719,2.908035448515719,text
went away,-2.8217566923663853,2.8217566923663853,text
refrigerated,-2.7162264066876722,2.7162264066876722,text
bivalent,-2.6680910090007504,2.6680910090007504,text
cleared,-2.6357707184492747,2.6357707184492747,text
inadvertently,-2.633702259386248,2.633702259386248,text
vaccinator,-2.622286248020042,2.622286248020042,text
monovalent,-2.6182460293672882,2.6182460293672882,text
unexpected non,-2.6123135186008857,2.6123135186008857,text
refrigerator,-2.605052340475428,2.605052340475428,text
excursion,-2.5880803939789256,2.5880803939789256,text
non described,-2.5581482566890155,2.5581482566890155,text
routine,-2.529675514243777,2.529675514243777,text
vaccination failure,-2.49860506327858,2.49860506327858,text
storage,-2.4907896280116404,2.4907896280116404,text
age,-2.4615040889998046,2.4615040889998046,text
fridge,-2.4246399183600307,2.4246399183600307,text
administration error,-2.414959985406964,2.414959985406964,text
error patient,-2.3974531445657252,2.3974531445657252,text
unspecified age,-2.3522134195284385,2.3522134195284385,text
administered expired,-2.349110837837386,2.349110837837386,text
mrna,-2.2678298212615853,2.2678298212615853,text
events vaccination,-2.2646648911373717,2.2646648911373717,text
result vaccination,-2.2606329269564656,2.2606329269564656,text
second booster,-2.2364252573675203,2.2364252573675203,text
event did,-2.223609982746788,2.223609982746788,text
covid treatment,-2.2165664418484354,2.2165664418484354,text
signed,-2.215785556441958,2.215785556441958,text
special,-2.1979967307642934,2.1979967307642934,text
primary care,-2.173864588328082,2.173864588328082,text
expired dose,-2.173542641871648,2.173542641871648,text
temperature,-2.1654878512366773,2.1654878512366773,text
went doctor,-2.1574388281780195,2.1574388281780195,text
health care,-2.143489768122932,2.143489768122932,text
itches,-2.130684191556242,2.130684191556242,text
relevant,-2.108536856153397,2.108536856153397,text
