feature,coefficient,abs_coefficient,feature_type
did result,-5.977457601455298,5.977457601455298,text
events did,-5.19044119898123,5.19044119898123,text
stored,-3.693945833561615,3.693945833561615,text
bud,-3.682790757547433,3.682790757547433,text
non onset,-3.4441644486203655,3.4441644486203655,text
experienced non,-3.436220935701681,3.436220935701681,text
vaccine expired,-3.379216301594694,3.379216301594694,text
result doctor,-3.365370385393487,3.365370385393487,text
use date,-3.318745704775842,3.318745704775842,text
refused,-3.2045746664458377,3.2045746664458377,text
expired vaccine,-3.1687321771860724,3.1687321771860724,text
condition sender,-3.0217275589031196,3.0217275589031196,text
adverse,-2.9779860026550993,2.9779860026550993,text
cleared,-2.8230466533389014,2.8230466533389014,text
refrigerator,-2.7772566846965074,2.7772566846965074,text
instead,-2.758624571689919,2.758624571689919,text
unexpected non,-2.687227157119536,2.687227157119536,text
monovalent,-2.6708320600991557,2.6708320600991557,text
refrigerated,-2.651775018165505,2.651775018165505,text
freezer,-2.6148528570356806,2.6148528570356806,text
went away,-2.5506827711314237,2.5506827711314237,text
bivalent,-2.514780956250542,2.514780956250542,text
non described,-2.4912883939108434,2.4912883939108434,text
routine,-2.4498093893198365,2.4498093893198365,text
excursion,-2.4474660693518615,2.4474660693518615,text
unspecified age,-2.3944160483037686,2.3944160483037686,text
vaccinator,-2.336264021479397,2.336264021479397,text
headache myalgia,-2.31185770035495,2.31185770035495,text
fridge,-2.3002825391426645,2.3002825391426645,text
age,-2.3000697276101247,2.3000697276101247,text
expired dose,-2.2737007602581376,2.2737007602581376,text
itches,-2.2689130805320636,2.2689130805320636,text
covid treatment,-2.2351823481488804,2.2351823481488804,text
vaccination failure,-2.2326173396689453,2.2326173396689453,text
administration error,-2.2250899379951448,2.2250899379951448,text
temperature,-2.2049474455898483,2.2049474455898483,text
inadvertently,-2.1736621746750333,2.1736621746750333,text
went home,-2.1617532467845004,2.1617532467845004,text
special,-2.1426245280544425,2.1426245280544425,text
dose dose,-2.134433892280226,2.134433892280226,text
water,-2.108829681191675,2.108829681191675,text
occurrence inappropriate,-2.1008429460942044,2.1008429460942044,text
error patient,-2.0955545566217375,2.0955545566217375,text
relevant,-2.0676104217052207,2.0676104217052207,text
storage,-2.0650130927174883,2.0650130927174883,text
expiration,-2.0620627507043743,2.0620627507043743,text
result vaccination,-2.050718901028753,2.050718901028753,text
health care,-2.0421220428964166,2.0421220428964166,text
early,-2.037881428591689,2.037881428591689,text
went doctor,-2.0188904990001992,2.0188904990001992,text
