feature,coefficient,abs_coefficient,feature_type
care,9.667203581553805,9.667203581553805,text
clinic care,6.974988886230223,6.974988886230223,text
iv,6.532763861335012,6.532763861335012,text
admission,6.224240119548289,6.224240119548289,text
epi,5.810298150591368,5.810298150591368,text
cause,5.462123047280448,5.462123047280448,text
stroke,5.43966471062736,5.43966471062736,text
patient days,5.30767839330526,5.30767839330526,text
epinephrine,4.69791730970812,4.69791730970812,text
care patient,4.636936033814526,4.636936033814526,text
went,4.342684820482671,4.342684820482671,text
pneumonia,4.289955776470929,4.289955776470929,text
sepsis,4.0357195266125165,4.0357195266125165,text
unspecified,4.009449603390924,4.009449603390924,text
cardiac,3.937574497652623,3.937574497652623,text
hypoxia,3.7892263879855643,3.7892263879855643,text
epipen,3.7712792857995896,3.7712792857995896,text
presented,3.7056152317380975,3.7056152317380975,text
arrived,3.6208347493732513,3.6208347493732513,text
visits,3.601022492113806,3.601022492113806,text
went care,3.4792926312677572,3.4792926312677572,text
remdesivir,3.4535628007580232,3.4535628007580232,text
unresponsive,3.4084461154102006,3.4084461154102006,text
pepcid,3.3540501243498237,3.3540501243498237,text
evaluation,3.277574833409882,3.277574833409882,text
seizure,3.1589689917921357,3.1589689917921357,text
required,3.146544767470597,3.146544767470597,text
damage,3.138541405410328,3.138541405410328,text
resulting,3.13815454952531,3.13815454952531,text
weeks receiving,3.119007498164539,3.119007498164539,text
intravenous,3.0990378930938665,3.0990378930938665,text
failure,3.0587682040684863,3.0587682040684863,text
steroids,3.0316789287702632,3.0316789287702632,text
presents,3.024839535886737,3.024839535886737,text
sent,3.0098752017541206,3.0098752017541206,text
anemia,3.007466078883759,3.007466078883759,text
vaccine breakthrough,2.9610228622693846,2.9610228622693846,text
dehydration,2.9549948698146715,2.9549948698146715,text
diagnosed,2.8742535027085796,2.8742535027085796,text
patient went,2.8631979932740363,2.8631979932740363,text
brought,2.8495543716144383,2.8495543716144383,text
care therapeutic,2.8457001188054987,2.8457001188054987,text
pna,2.8248080595725367,2.8248080595725367,text
dexamethasone,2.7823781618015615,2.7823781618015615,text
covid pneumonia,2.7574197754188194,2.7574197754188194,text
pulmonary,2.683238499488521,2.683238499488521,text
acute,2.6767066559865063,2.6767066559865063,text
seizures,2.6514911524802334,2.6514911524802334,text
patient,2.6418755718928866,2.6418755718928866,text
patient covid,2.6183498733473756,2.6183498733473756,text
