feature,coefficient,abs_coefficient,feature_type
care,9.70094735275487,9.70094735275487,text
clinic care,5.6511752848152925,5.6511752848152925,text
iv,5.598860197069454,5.598860197069454,text
stroke,5.294286265626489,5.294286265626489,text
cause,5.157997542759102,5.157997542759102,text
admission,4.796776947185584,4.796776947185584,text
appendicitis,4.683751368227705,4.683751368227705,text
epinephrine,4.599528209132892,4.599528209132892,text
went,4.369262046857775,4.369262046857775,text
sent,4.26318294601082,4.26318294601082,text
required,4.2318870822170025,4.2318870822170025,text
epi,4.129230513845287,4.129230513845287,text
care patient,3.9815217519961714,3.9815217519961714,text
presented,3.8205461308310795,3.8205461308310795,text
cardiac,3.7886670120822523,3.7886670120822523,text
unresponsive,3.6636277993469104,3.6636277993469104,text
epipen,3.653311843733791,3.653311843733791,text
pneumonia,3.6507804445333383,3.6507804445333383,text
arrived,3.6377148109052255,3.6377148109052255,text
went care,3.57438578994622,3.57438578994622,text
evaluation,3.476834439749578,3.476834439749578,text
breakthrough,3.283227323162825,3.283227323162825,text
hypoxia,3.2495436262681334,3.2495436262681334,text
remdesivir,3.2487899572478907,3.2487899572478907,text
patient days,3.2368407188578483,3.2368407188578483,text
steroids,3.209590131176487,3.209590131176487,text
seizures,3.153479021860903,3.153479021860903,text
weeks receiving,3.110529996176491,3.110529996176491,text
seizure,3.0924652318742036,3.0924652318742036,text
resulting,3.0022373843270307,3.0022373843270307,text
intravenous,2.9833695729878764,2.9833695729878764,text
failure,2.960818167040634,2.960818167040634,text
visits,2.9436546898440556,2.9436546898440556,text
unspecified,2.9282307090733717,2.9282307090733717,text
pepcid,2.9246466617547644,2.9246466617547644,text
sepsis,2.874401883419155,2.874401883419155,text
acute,2.7624425576004263,2.7624425576004263,text
diagnosed,2.6870858827260355,2.6870858827260355,text
cellulitis,2.6440089233881987,2.6440089233881987,text
dexamethasone,2.620162346524968,2.620162346524968,text
occurred date,2.6171553472180054,2.6171553472180054,text
damage,2.6105441270962766,2.6105441270962766,text
patient,2.5946103923568176,2.5946103923568176,text
pulmonary,2.58374661560412,2.58374661560412,text
ended,2.563417178598263,2.563417178598263,text
care therapeutic,2.54074086887078,2.54074086887078,text
pe,2.519909891212904,2.519909891212904,text
patient taken,2.515906814968735,2.515906814968735,text
dehydration,2.49108854185607,2.49108854185607,text
shock,2.468566017977785,2.468566017977785,text
