YEAR_MONTH_DATE,CLUSTER,N_CLUSTER_MONTH,N_TOTAL_MONTH,CLUSTER_PROPORTION
2020-12-01,0,1471,10087,0.14583126796867255
2020-12-01,1,8,10087,0.0007931000297412512
2020-12-01,2,1088,10087,0.10786160404481016
2020-12-01,3,1802,10087,0.17864578169921683
2020-12-01,4,962,10087,0.09537027857638544
2020-12-01,5,79,10087,0.007831862793694855
2020-12-01,6,280,10087,0.027758501040943788
2020-12-01,7,19,10087,0.0018836125706354714
2020-12-01,8,780,10087,0.07732725289977198
2020-12-01,10,536,10087,0.05313770199266382
2020-12-01,11,2,10087,0.0001982750074353128
2020-12-01,12,1291,10087,0.1279865172994944
2020-12-01,13,1767,10087,0.17517596906909885
2020-12-01,14,2,10087,0.0001982750074353128
2021-01-01,0,9442,68701,0.13743613630078164
2021-01-01,1,15,68701,0.000218337433225135
2021-01-01,2,5041,68701,0.07337593339252704
2021-01-01,3,10918,68701,0.15892053973013492
2021-01-01,4,8076,68701,0.11755287404841269
2021-01-01,5,2643,68701,0.03847105573426879
2021-01-01,6,1632,68701,0.02375511273489469
2021-01-01,7,384,68701,0.0055894382905634565
2021-01-01,8,3650,68701,0.053128775418116184
2021-01-01,10,7827,68701,0.11392847265687545
2021-01-01,11,56,68701,0.0008151264173738373
2021-01-01,12,13320,68701,0.1938836407039199
2021-01-01,13,5492,68701,0.07994061221816276
2021-01-01,14,205,68701,0.002983944920743512
2021-02-01,0,8514,59065,0.1441462795225599
2021-02-01,1,19,59065,0.00032167950562939134
2021-02-01,2,5232,59065,0.0885803775501566
2021-02-01,3,9623,59065,0.16292220435113858
2021-02-01,4,5891,59065,0.0997375772454076
2021-02-01,5,1323,59065,0.022399051891983407
2021-02-01,6,1847,59065,0.031270634047236096
2021-02-01,7,631,59065,0.01068314568695505
2021-02-01,8,3224,59065,0.05458393295521883
2021-02-01,9,6,59065,0.00010158300177770253
2021-02-01,10,8224,59065,0.1392364344366376
2021-02-01,11,42,59065,0.0007110810124439178
2021-02-01,12,10293,59065,0.1742656395496487
2021-02-01,13,4181,59065,0.07078642173876239
2021-02-01,14,15,59065,0.00025395750444425635
2021-03-01,0,11648,73301,0.15890642692459858
2021-03-01,1,74,73301,0.001009536022700918
2021-03-01,2,7642,73301,0.10425505791189751
2021-03-01,3,14247,73301,0.19436296912729703
2021-03-01,4,5383,73301,0.07343692446214922
2021-03-01,5,1978,73301,0.02698462503922184
2021-03-01,6,3025,73301,0.04126819552257131
2021-03-01,7,1216,73301,0.016589132481139413
2021-03-01,8,3834,73301,0.052304879878855674
2021-03-01,9,147,73301,0.0020054296667166888
2021-03-01,10,8587,73301,0.11714710576936195
2021-03-01,11,90,73301,0.0012278140816632788
2021-03-01,12,7870,73301,0.10736552025211116
2021-03-01,13,7540,73301,0.10286353528601247
2021-03-01,14,20,73301,0.00027284757370295087
2021-04-01,0,13864,99256,0.13967921334730393
2021-04-01,1,90,99256,0.000906746191665995
2021-04-01,2,10882,99256,0.10963568953010397
2021-04-01,3,21334,99256,0.21493914725558153
2021-04-01,4,4853,99256,0.048893769646167484
2021-04-01,5,2953,99256,0.029751350044329813
2021-04-01,6,4240,99256,0.04271782058515354
2021-04-01,7,1515,99256,0.015263560893044249
2021-04-01,8,5193,99256,0.05231925525912791
2021-04-01,9,7211,99256,0.07265051986781655
2021-04-01,10,7750,99256,0.07808092206012734
2021-04-01,11,47,99256,0.00047352301120335297
2021-04-01,12,8814,99256,0.08880067703715644
2021-04-01,13,10296,99256,0.10373176432658983
2021-04-01,14,214,99256,0.0021560409446280326
2021-05-01,0,5524,58015,0.09521675428768422
2021-05-01,1,94,58015,0.0016202706196673275
2021-05-01,2,7638,58015,0.13165560630871326
2021-05-01,3,14595,58015,0.2515728690855813
2021-05-01,4,2208,58015,0.03805912264069637
2021-05-01,5,2502,58015,0.04312677755752822
2021-05-01,6,2589,58015,0.04462638972679479
2021-05-01,7,952,58015,0.016409549254503147
2021-05-01,8,6925,58015,0.11936568128932172
2021-05-01,9,1929,58015,0.03325002154615186
2021-05-01,10,3399,58015,0.05858829613031113
2021-05-01,11,122,58015,0.002102904421270361
2021-05-01,12,3468,58015,0.05977764371283289
2021-05-01,13,6015,58015,0.10368008273722314
2021-05-01,14,55,58015,0.0009480306817202448
