YEAR_MONTH,report_count
2020-12-01,10381
2021-01-01,70642
2021-02-01,60378
2021-03-01,74972
2021-04-01,101337
2021-05-01,59376
2021-06-01,41119
2021-07-01,32376
2021-08-01,99663
2021-09-01,46053
2021-10-01,42739
2021-11-01,41566
2021-12-01,40511
2022-01-01,35401
2022-02-01,31071
2022-03-01,21448
2022-04-01,15268
2022-05-01,19349
2022-06-01,13463
2022-07-01,13207
2022-08-01,10718
2022-09-01,12475
2022-10-01,8947
2022-11-01,6927
2022-12-01,7058
2023-01-01,6859
2023-02-01,4173
2023-03-01,4025
2023-04-01,4618
2023-05-01,3844
2023-06-01,2640
2023-07-01,1940
2023-08-01,3259
2023-09-01,3876
2023-10-01,5808
2023-11-01,3629
2023-12-01,2621
2024-01-01,3174
2024-02-01,1703
2024-03-01,1432
2024-04-01,980
2024-05-01,875
2024-06-01,968
2024-07-01,603
2024-08-01,643
2024-09-01,1890
2024-10-01,2844
2024-11-01,1902
2024-12-01,1165
2025-01-01,924
2025-02-01,748
2025-03-01,661
2025-04-01,610
2025-05-01,543
2025-06-01,432
2025-07-01,262
