YEAR_MONTH,serious_count,total,serious_percent
2020-12-01,2020,10381,19.458626336576437
2021-01-01,8482,70642,12.00702131876221
2021-02-01,8147,60378,13.493325383417801
2021-03-01,12513,74972,16.690231019580644
2021-04-01,18463,101337,18.219406534631972
2021-05-01,13100,59376,22.062786310967393
2021-06-01,9916,41119,24.115372455555825
2021-07-01,7973,32376,24.62626637015073
2021-08-01,10593,99663,10.62881912043587
2021-09-01,9887,46053,21.468742535774
2021-10-01,9086,42739,21.259271391469152
2021-11-01,9123,41566,21.94822691622961
2021-12-01,9123,40511,22.519809434474585
2022-01-01,10914,35401,30.8296375808593
2022-02-01,6884,31071,22.15570789482154
2022-03-01,5557,21448,25.90917568071615
2022-04-01,3611,15268,23.650772858265654
2022-05-01,3479,19349,17.980257377642257
2022-06-01,2703,13463,20.077248755849364
2022-07-01,2769,13207,20.966154312107214
2022-08-01,2784,10718,25.974995334950552
2022-09-01,2584,12475,20.713426853707414
2022-10-01,1816,8947,20.297306359673634
2022-11-01,1622,6927,23.415620037534286
2022-12-01,1754,7058,24.851232643808444
2023-01-01,1771,6859,25.820090392185453
2023-02-01,1363,4173,32.66235322310089
2023-03-01,1193,4025,29.63975155279503
2023-04-01,2031,4618,43.98007795582503
2023-05-01,2265,3844,58.92299687825182
2023-06-01,1723,2640,65.26515151515152
2023-07-01,870,1940,44.84536082474227
2023-08-01,1727,3259,52.99171525007671
2023-09-01,616,3876,15.892672858617132
2023-10-01,711,5808,12.241735537190083
2023-11-01,789,3629,21.74152659134748
2023-12-01,634,2621,24.18924074780618
2024-01-01,433,3174,13.642091997479522
2024-02-01,335,1703,19.67116852613036
2024-03-01,421,1432,29.399441340782122
2024-04-01,272,980,27.755102040816325
2024-05-01,231,875,26.400000000000002
2024-06-01,252,968,26.033057851239672
2024-07-01,213,603,35.32338308457712
2024-08-01,200,643,31.104199066874028
2024-09-01,298,1890,15.76719576719577
2024-10-01,471,2844,16.561181434599156
2024-11-01,369,1902,19.400630914826497
2024-12-01,298,1165,25.579399141630898
2025-01-01,325,924,35.17316017316017
2025-02-01,274,748,36.63101604278075
2025-03-01,201,661,30.408472012102873
2025-04-01,175,610,28.688524590163933
2025-05-01,155,543,28.5451197053407
2025-06-01,127,432,29.398148148148145
2025-07-01,100,262,38.16793893129771
