feature,importance,feature_type
num__ONSET_INTERVAL,0.050409744007323766,structured
binary__LAB_DATA_MISSING,0.04297983542366295,structured
num__NUMDAYS,0.039826172665169884,structured
acute,0.015202695025899387,text
binary__LAB_DATA__vitals_procedures,0.01431801002189182,structured
binary__LAB_DATA__other,0.013299870805738792,structured
headache,0.013017029680267862,text
num__AGE_YRS,0.011242248226934759,structured
site,0.01095753330768453,text
iv,0.010207522141065614,text
injection,0.010010383035574676,text
binary__HISTORY__cardiovascular,0.008309123810403652,structured
presented,0.008003227271761488,text
chest,0.007916203620920846,text
arm,0.007872453955561777,text
injection site,0.007665206168809935,text
covid,0.00738603027551688,text
care,0.007359787248857789,text
describes occurrence,0.007307191656575055,text
chills,0.007166924008004913,text
dose,0.006342663559805129,text
blood,0.006310743965135876,text
chest pain,0.006026403796748727,text
mrna,0.005953845754153123,text
went,0.005882351216596903,text
patient received,0.005751248472196225,text
breath,0.005276134089137594,text
shortness,0.0050705731096788755,text
route,0.005063546315837426,text
fever,0.005040673212458361,text
moderna covid,0.005004402843033611,text
binary__MULTI_DOSE,0.00492534887435921,structured
error,0.004888046236884713,text
home,0.0047730624267993986,text
medical history,0.004769503285504493,text
shortness breath,0.004694020055782882,text
vaccine,0.004673192546681124,text
received mrna,0.004672076489911128,text
batch,0.004579189936963693,text
describes,0.0045660946894814135,text
concomitant,0.004338882633510513,text
administered,0.004268890210055259,text
adverse,0.004254235395927185,text
binary__DOSE_COUNT,0.004230763971911906,structured
occurrence,0.004106602817295954,text
breakthrough,0.004060434538321872,text
medical,0.003940640737512857,text
failure,0.003919221270274776,text
pneumonia,0.003880994454855149,text
evaluation,0.0038040997180358305,text
admission,0.0038036565775196292,text
red,0.0037636284027212173,text
diagnosed,0.0037488928811492527,text
respiratory,0.0037379998008345966,text
sore,0.003714425239518665,text
patient experienced,0.0036676007761064994,text
aches,0.0035827251555253805,text
dosage,0.0035766325323113583,text
temperature,0.003537761471722639,text
heart,0.003536590198938707,text
information,0.0035156801256216834,text
received dose,0.003443668909862907,text
dose mrna,0.0032776710545759065,text
cat__YEAR_2021,0.0032419826530252645,structured
respiratory failure,0.0031314139246595,text
action taken,0.003031346331686436,text
covid vaccination,0.003003462942108655,text
stroke,0.002993771971076553,text
reporter,0.002972570627350249,text
consumer,0.002921220723887659,text
patient,0.002737931359844483,text
binary__HISTORY__metabolic,0.0027111231617587654,structured
lot number,0.0026861531715020827,text
mrna moderna,0.002659144108373231,text
positive,0.002621124435860499,text
ct,0.0024516148174111687,text
stored,0.0024020279801281034,text
body aches,0.0023925563777756477,text
experienced,0.002363520528634191,text
called,0.0023124073772679884,text
storage,0.002301714610311729,text
bnt,0.0022782178313809835,text
cat__SEX_M,0.0022667164670156035,structured
covid vaccine,0.0022598249134283942,text
infection,0.002256107663769295,text
pulmonary,0.0022445616959092946,text
fatigue,0.002160621651473471,text
relevant,0.002150017176593104,text
follow-up attempts,0.0021459930929240735,text
moderna,0.002142123018218236,text
age,0.002137818756623144,text
received,0.0020700916774399,text
dosage form,0.0020673810454958008,text
female,0.002048507074792658,text
medications,0.0020307020810600277,text
taken,0.0019773806421482993,text
single,0.00192247708899914,text
taken mrna,0.0019163474532307464,text
female patient,0.0018655695405151035,text
consumer describes,0.0018393284057267186,text
form,0.0018265881126772621,text
pt,0.0018222719318356597,text
attempts,0.001821338387722275,text
cat__STATE_UNKNOWN,0.001759263524278603,structured
concomitant medications,0.0017466468134964505,text
product,0.0017152015486776983,text
went care,0.0017102020721541668,text
year-old female,0.0016860387574795376,text
intramuscular dosage,0.0016692704912710608,text
binary__OTHER_MEDS_MISSING,0.0016489268785868005,structured
arrived,0.0016285577877555393,text
number,0.0016280421294964135,text
itchy,0.0016097300869661057,text
oxygen,0.0015995945188151848,text
cat__SEX_F,0.0015863297676765777,structured
date,0.0015581969669081336,text
sent,0.0015455588943193534,text
hours,0.0015354317516608404,text
binary__LAB_DATA__cardiac_markers,0.0015148803487456178,structured
cause,0.0015061335149876766,text
relationship,0.0014975794718196218,text
binary__NUMDAYS_MISSING,0.001487948005590498,structured
steroids,0.001479466714785343,text
binary__AGE_YRS_MISSING,0.0014551080560083441,structured
provided,0.001436057670236015,text
vaccination,0.0014333716831642638,text
binary__ONSET_INTERVAL_MISSING,0.0014255588268689515,structured
treated,0.0014202382095783131,text
non,0.0014083438973622874,text
year-old,0.0014059309846474674,text
body,0.0013955674344352904,text
sob,0.0013744934090010636,text
rash,0.0013638900684145702,text
scan,0.0013485427773901953,text
cat__YEAR_2022,0.0013458674524826659,structured
action,0.0013434550690524427,text
vaccine intramuscular,0.0013404696008759295,text
company,0.0013385723017444598,text
receiving covid,0.0013304319831175776,text
history information,0.001312863240565868,text
vaccine administered,0.0013102640186736054,text
days,0.0013066604176508658,text
evaluated,0.0013024739258161635,text
binary__HISTORY_MISSING,0.0012753055283090914,structured
vaccine stored,0.0012713926797897554,text
included,0.0012691876530858382,text
instead,0.0012616840729404765,text
sender comments,0.001260424709216194,text
status,0.0012328109597802008,text
breathing,0.001224992266272769,text
vaccination medical,0.0012177665403275946,text
cat__YEAR_2023,0.0012131715267788678,structured
binary__ALLERGIES_MISSING,0.0012109462209855633,structured
touch,0.001204328565566701,text
given,0.0011975795688406222,text
sender,0.0011969428295739888,text
dose single,0.001195183127325219,text
weakness,0.001193933317571173,text
mri,0.0011810220717534668,text
diagnosis,0.0011756244031336277,text
ekg,0.0011634383653580588,text
expected,0.001162518317353378,text
throat,0.0011517898416061791,text
intramuscular,0.0011306859601450717,text
cat__STATE_MI,0.0011071893996953783,structured
lot,0.0010943882562268474,text
vaccine batch,0.0010818692636898222,text
paxlovid,0.001066416916885988,text
causality assessments,0.001065807174058963,text
events,0.0010634152364702872,text
swollen,0.0010264019603345043,text
contactable,0.0010129959688903317,text
prednisone,0.0010018900280116556,text
hcp,0.0009878613621416225,text
cardiac,0.0009814619946722156,text
binary__OTHER_MEDS__other,0.0009777579745017385,structured
pressure,0.0009576181489933166,text
did provide,0.0009562840227783768,text
epinephrine,0.0009516095830743963,text
unspecified,0.0009496112111762144,text
covid pneumonia,0.000949272039429238,text
history,0.0009466268301994292,text
remdesivir,0.0009418451362963583,text
comments,0.0009371376045860449,text
vial,0.000916235267438483,text
embolism,0.0009132832672746493,text
information expected,0.0009117441673408358,text
binary__LAB_DATA__cbc,0.0009079342169216,structured
cough,0.0008889171190714486,text
redness,0.0008843696648771739,text
covid immunisation,0.0008842099608809334,text
weeks receiving,0.0008833581439771074,text
treatment,0.0008727719786397277,text
possible information,0.0008713848650211864,text
freezer,0.0008685737143169646,text
test,0.0008651497390782586,text
minutes,0.0008436552768592714,text
pfizer,0.00082787763798721,text
pain,0.0008228433657588436,text
event,0.0008214534565325814,text
lasted,0.0008208203726420649,text
dosage changed,0.0008143865820127364,text
hypoxia,0.0008098130293787097,text
immunisation patient,0.0008065038709966083,text
negative,0.0008051015372879722,text
presents,0.0008003667070538492,text
relevant medical,0.0007983360369917631,text
doctor,0.0007949877090081551,text
blood pressure,0.0007930665265576035,text
elevated,0.0007886842342481651,text
num__MAX_DOSE,0.000788025887569739,structured
receiving,0.0007831074623498288,text
required,0.000779805454130602,text
comment,0.0007703976459895014,text
showed,0.0007680937517636083,text
day,0.0007598497332355353,text
soreness,0.0007554106013891615,text
temporal,0.0007378048695460062,text
vaccine route,0.0007243031750706477,text
pfizer-biontech covid,0.0007193429519278378,text
reporter did,0.0007021865948118724,text
administration,0.0006946090207874975,text
time,0.0006924176358313532,text
following information,0.0006904075619144781,text
rate,0.000690204770883183,text
history concomitant,0.0006899793367721243,text
expiration,0.0006886541338867086,text
cat__MONTH_8,0.0006881155209731684,structured
contactable reporter,0.0006748886782468925,text
attempts possible,0.0006741699953496012,text
covid infection,0.0006681867209481794,text
mar,0.000663282455046347,text
history included,0.0006631882651156402,text
seizure,0.0006584025241826867,text
hypoxic,0.0006530715745301244,text
risk,0.0006506859236879902,text
disease,0.0006477177049280184,text
muscle,0.0006450765632053375,text
company comment,0.0006382620498827816,text
myalgia,0.0006312142021893341,text
weeks,0.0006261549531881864,text
batch covid,0.0006251280800293049,text
follow-up,0.0006213863893694546,text
unspecified route,0.0006120548780776138,text
caused,0.0006031592611172293,text
available information,0.0005983683985127181,text
vaccine covid,0.0005980781355223101,text
joint,0.0005979299666483436,text
excursion,0.0005943605087670695,text
felt,0.0005910078245426925,text
benefit-risk,0.0005874026737362373,text
immunisation,0.0005803190451619457,text
bilateral,0.0005727471461482215,text
developed,0.0005715364059305013,text
htn,0.0005696442114083548,text
tested,0.0005608990727342286,text
patient relevant,0.000560293591348226,text
binary__LAB_DATA__coagulation,0.0005552717607730647,structured
tests,0.000553297064663578,text
difficulty,0.0005453164825659058,text
started,0.000542232784377411,text
epi,0.0005384753480390977,text
route administration,0.000537808613823043,text
single dose,0.0005307522110907454,text
limited information,0.0005307059701940288,text
batch number,0.0005305402192240062,text
sore arm,0.0005285464372581601,text
unapproved,0.0005228559822641942,text
patient presented,0.0005195769437362661,text
effects,0.0005187715888889923,text
available,0.0005163057703949334,text
symptoms,0.0005159276404358626,text
binary__HISTORY__kidney,0.0005115765988674357,structured
better,0.0005112211202338702,text
binary__MANU__PFIZER_BIONTECH,0.0005061966363671696,structured
use,0.000503967306011532,text
did,0.0005039376492842031,text
did result,0.0005032257565718178,text
office,0.0005026581734176826,text
like,0.0004999459271587394,text
investigators,0.0004968792927273224,text
product administered,0.0004934678604288822,text
start,0.0004930045517607739,text
confirmed,0.00048252126479065996,text
covid positive,0.00047723946538013364,text
based current,0.0004753312672886228,text
area,0.0004749714598213773,text
additional,0.00047358539591881824,text
binary__MANU__MODERNA,0.00046995236353539264,structured
abdominal,0.000467817608912601,text
left,0.0004666330943179063,text
storage unit,0.000466431232874929,text
troponin,0.0004637295559020759,text
having,0.0004587911362747342,text
requested,0.0004574399850823703,text
attack,0.00045695633545944983,text
clinical,0.0004531746550097844,text
consumer non,0.00044969837337582717,text
bnt bnt,0.00044764212269273623,text
prescribed,0.0004475456050834043,text
booster single,0.0004440981618360504,text
current available,0.0004428945615116883,text
x-ray,0.00044204375021546206,text
following,0.00044124957795947813,text
patient went,0.00043499926304690505,text
ct scan,0.0004345055054215543,text
affected,0.00043376939995163466,text
causal relationship,0.00043266237092204953,text
positive covid,0.000426895485025642,text
dexamethasone,0.0004233748047927275,text
number dose,0.00042270459455767575,text
shot,0.00042049691786466293,text
clot,0.00042015702960699827,text
refrigerated,0.0004158518390648817,text
got,0.0004113388657677617,text
second,0.00041087678059582535,text
batch lot,0.000409093702828672,text
improper storage,0.00040683063947122435,text
subsequently,0.00040653492239035583,text
pepcid,0.00040511943352302646,text
stable,0.0004040287128960487,text
difficulty breathing,0.000400785461450766,text
solution,0.0003992443394601551,text
binary__ALLERGIES__other,0.00039885276546021837,structured
bp,0.00039728664146687664,text
cat__STATE_IN,0.0003961277814799966,structured
information factors,0.00039610469800070524,text
regarding,0.00039569899358333783,text
causal,0.0003951867649354087,text
ml,0.0003924446033258394,text
itching,0.0003918730486629823,text
swelling,0.0003912136250791084,text
later,0.00038767626958931045,text
products,0.0003839018006311752,text
tachycardia,0.00038387765988918016,text
date patient,0.0003819223774488517,text
male,0.0003819167447787944,text
second dose,0.0003807111843636351,text
number obtained,0.00037989436032142643,text
received bnt,0.00037914749018334057,text
cat__STATE_CA,0.0003780426635712255,structured
prior,0.0003743708840497576,text
tested positive,0.0003722274766437853,text
pfizer-biontech,0.00037167116371497117,text
binary__CUR_ILL_MISSING,0.00037133957016062774,structured
concomitant medication,0.00037129405457260505,text
patient did,0.00036893890274065374,text
covid treatment,0.00036867138227610996,text
dose booster,0.0003647014301993289,text
severe,0.00036330660437102944,text
lymph,0.00036232875685326564,text
limited,0.0003620547010939776,text
occurred,0.00035844739257322953,text
brain,0.0003550906793725957,text
took,0.00035387367246428574,text
feeling,0.0003510390407782868,text
fluids,0.00034939329912587796,text
expired,0.00034694230580982927,text
warm,0.0003466433605139664,text
expired product,0.0003462450049401958,text
association use,0.00034272706631718755,text
provide causality,0.0003424036858120114,text
dose covid,0.00034214661722879904,text
excluded,0.0003413810775007588,text
medication,0.00034062716165239246,text
resolved,0.00034026269093742476,text
water,0.00033913499885927074,text
experienced unexpected,0.00033847307157617695,text
bivalent,0.0003384628159989122,text
mrna vaccine,0.0003362771252611213,text
improper,0.00033627043272245575,text
information regarding,0.0003360894643654082,text
additional information,0.00033332698578381384,text
left arm,0.000329599780451793,text
results,0.0003291139166589433,text
unassessable,0.0003267791294422697,text
right,0.00032660190985764874,text
male patient,0.00032591760767319736,text
received contactable,0.0003245815175535924,text
people,0.00032369358420929396,text
adverse event,0.00032137549278651894,text
prior vaccination,0.00031958372367682617,text
period,0.00031956538914333784,text
route dosage,0.00031952648940774224,text
patient medical,0.0003169542076806587,text
heart rate,0.00031596879915729624,text
route admin,0.0003156837492060504,text
reporter consumer,0.00031547096026113156,text
reaction,0.0003154393841031182,text
covid onset,0.0003151144535776323,text
plausibility,0.00031350347994473117,text
based,0.0003123704866812283,text
booster,0.0003112412755795879,text
sent home,0.00031091093523377846,text
care patient,0.00030927322146570845,text
recommended,0.0003072883354492482,text
bnt pfizer-biontech,0.0003072711570984356,text
patient year-old,0.00030712623147745224,text
onset,0.0003062191886176933,text
chronic,0.0003048381409363424,text
result,0.00030440799970224707,text
considered unassessable,0.0003041830443857444,text
dvt,0.00030391837427074376,text
procedures,0.00030338217242008655,text
error improper,0.00030314693042077836,text
just,0.00030171090806926774,text
sars-cov test,0.0003016147089829729,text
needed information,0.00029810140947667793,text
clinic,0.00029780315864284053,text
prophylactic,0.00029766852570778764,text
temperature excursion,0.00029742051988403725,text
admin,0.0002972187713074879,text
pfizer product,0.00029386741962396086,text
relationship excluded,0.0002929649439076655,text
injection route,0.00029180790980451704,text
age years,0.0002912187073572751,text
sars-cov,0.0002903225969615971,text
requiring,0.00028963813227116694,text
information requested,0.0002892913479400168,text
temporal association,0.0002889320557016993,text
administration administered,0.00028847584345884634,text
subject experienced,0.0002874570102248679,text
years,0.0002871693416777086,text
patient days,0.00028695398723262535,text
told,0.0002868849682543394,text
reporter patient,0.0002854668063742115,text
received second,0.00028510977837675365,text
drug,0.00028488831899649004,text
applicable,0.0002840244025025121,text
week,0.0002834945708014167,text
ineffective,0.0002827736269787577,text
professional,0.0002820940690443886,text
cycle,0.0002818206487282435,text
series,0.00028164297543545157,text
relationship mrna,0.00028108462734992523,text
course,0.00028056548822192354,text
mg,0.000280217405884774,text
potentially associated,0.000279894642097976,text
measures,0.00027937013229245854,text
causality,0.0002791265729594265,text
immunization,0.0002788551802403811,text
comments based,0.0002787078347523472,text
abdominal pain,0.00027712503856761246,text
gave,0.0002760405488599842,text
jan,0.00027496547918201173,text
link,0.0002741706200267757,text
arrival,0.0002741356241797498,text
start date,0.0002737817663310663,text
additional non,0.0002737023661066874,text
unapproved storage,0.00027297331383022936,text
pulmonary embolism,0.0002725186786939532,text
recovered,0.00027033402720893135,text
solution injection,0.00027020279472852164,text
swab,0.00027006504022955883,text
hives,0.0002677701052068998,text
feel,0.00026745673381170303,text
cat__MONTH_4,0.0002674554553016122,structured
vaccination occurrence,0.00026718185202160536,text
events did,0.0002665582948414823,text
experienced expired,0.0002662144106985931,text
cold,0.0002656973363495802,text
face,0.00026319358105717926,text
body temperature,0.0002622170792730672,text
jan patient,0.00026198779004391265,text
prophylaxis,0.00026194986571894947,text
unassessable event,0.00026166449780288056,text
went away,0.0002614473757183529,text
covid prior,0.00026127024803685036,text
receive,0.00025957273244199786,text
number single,0.0002593942023470169,text
physician,0.0002590411220157322,text
vaccine given,0.0002586574209619459,text
linked,0.0002583722917350914,text
single covid,0.0002572194802128507,text
nose,0.0002566486876328583,text
vaccinated,0.0002559050121940738,text
factors,0.00025578787502601323,text
occurred date,0.0002550099875267083,text
normal,0.0002545746458882887,text
vaccination site,0.00025361027114537366,text
decadron,0.00025357502071540934,text
placed,0.00025257540191216067,text
considered,0.0002525467716776022,text
date events,0.0002524935818061654,text
vaccine patient,0.0002517295371612867,text
patient given,0.00025080703994852433,text
benefit-risk relationship,0.0002505537254502811,text
detailed,0.0002505403949390794,text
copd,0.00024981755209286545,text
increased,0.00024894267686893925,text
head,0.00024856345221092917,text
fever chills,0.0002483581733731616,text
normal ranges,0.0002483512242609099,text
damage,0.00024812004045120754,text
nd,0.0002480803654570023,text
tingling,0.00024766479266512877,text
promptly,0.00024610117474758314,text
non hcp,0.00024575525491992583,text
assessments,0.0002445352398729687,text
cat__MONTH_3,0.0002443875110018373,structured
tightness,0.00024422558287815095,text
epipen,0.00024365533187348698,text
pe,0.00024364641765322882,text
past,0.0002432939104569188,text
condition,0.00024307409602906127,text
potentially,0.00024253243905098955,text
current,0.00024094811502814028,text
event compatible,0.00024081850262051716,text
provided time,0.0002408126347101381,text
post,0.00024063386851827504,text
described,0.00024008042308600614,text
result doctor,0.00023928765381892757,text
systemic,0.00023909168940544167,text
labs,0.00023863379945011614,text
numbness,0.00023704936418670212,text
seen,0.00023637581387274165,text
use product,0.00023622260060079603,text
medically,0.0002360170813277777,text
conditions included,0.00023473762573120448,text
safety,0.00023472936938077012,text
vaccination patient,0.00023458655902641403,text
cxr,0.00023435408774118778,text
data,0.00023375737657153558,text
vaccine series,0.0002337451641355481,text
unspecified age,0.00023361701547339935,text
clots,0.0002329743785830638,text
blood clot,0.00023276665335781647,text
concurrent medical,0.0002310164033531301,text
feb,0.00023077320095075837,text
unexpected,0.00023074283887574635,text
loss,0.00023042368179784268,text
nausea,0.00022987378625788504,text
detected,0.00022939933858971706,text
covid immunization,0.00022902578124315176,text
assessed,0.0002281807031891719,text
treatment covid,0.00022796162899254953,text
binary__HISTORY__respiratory,0.00022768451354577887,structured
single batch,0.00022622730757510207,text
speech,0.00022621500888760201,text
diagnosed covid,0.0002249369800501648,text
possible,0.00022406823728927879,text
events causal,0.0002239185625369387,text
dizziness,0.00022306611807700272,text
benadryl,0.00022205747178391996,text
contactable consumer,0.0002218246227074049,text
binary__ALLERGIES__drug_allergy,0.00022154342434932466,structured
stated,0.00022122559358351228,text
fully,0.0002212011924494517,text
lost,0.00022093046939750794,text
use date,0.00022068950096803516,text
fully vaccinated,0.00021965695807257864,text
high,0.00021927929994964356,text
duration,0.00021876500793205277,text
reactions,0.00021831008174109882,text
assessments concomitant,0.00021659942234197353,text
association,0.00021564689604741596,text
safety concern,0.00021561745396714773,text
treatment medications,0.00021535804934706508,text
patient unspecified,0.00021480962838981433,text
aggregate,0.000214400630820877,text
inches,0.00021397889402276758,text
ended,0.00021366304135199995,text
months,0.0002133233892551963,text
impact,0.00021326656571343003,text
contact,0.0002118869685538045,text
nasal,0.00021034728571834484,text
began,0.00020993509265868516,text
including,0.00020982719993586086,text
attempts needed,0.00020917565262616172,text
menstrual,0.00020917345281294006,text
taken covid,0.00020750891920564296,text
diagnostic results,0.00020587419884806116,text
form date,0.00020569850261212052,text
related,0.00020522362939710392,text
ongoing,0.00020495595704518325,text
myocarditis,0.0002048600626010463,text
