,count,percent
OTHER_MEDS__other,271700,27.55309827846376
LAB_DATA__other,195633,19.839143450536255
HISTORY__other,172946,17.538454673784294
ALLERGIES__other,143783,14.581034706560011
ALLERGIES__drug_allergy,77583,7.867692395060927
CUR_ILL__other,71218,7.222217715110903
HISTORY__cardiovascular,63285,6.417732147782772
HISTORY__respiratory,59886,6.073039541789035
HISTORY__metabolic,56111,5.690216774026059
LAB_DATA__vitals_procedures,53601,5.4356776622154435
OTHER_MEDS__statin,43514,4.412754944751829
OTHER_MEDS__thyroid_meds,41952,4.254352517401957
HISTORY__endocrine_thyroid,37831,3.8364418880109037
HISTORY__musculoskeletal,36222,3.6732731904398763
HISTORY__mental_health,35486,3.598635426976684
OTHER_MEDS__psych_meds,29587,3.0004178092193863
HISTORY__neurologic,27809,2.820110820853142
HISTORY__gastrointestinal,25701,2.606338530934108
OTHER_MEDS__diabetes_meds,24974,2.532613457513264
HISTORY__cancer_immunocompromised,19035,1.93033943956775
CUR_ILL__acute_infection,15592,1.5811847933669743
ALLERGIES__latex_other_contact,14381,1.4583772776687056
PRIOR_VAX__prior_covid_vax,13845,1.4040215151465985
PRIOR_VAX__other,13457,1.3646744333208938
ALLERGIES__food_allergy,12825,1.3005833103470654
PRIOR_VAX__prior_flu_vax,12237,1.240954227580276
OTHER_MEDS__anticoagulant,11166,1.132344112540767
HISTORY__autoimmune,9968,1.0108549269036686
CUR_ILL__chronic_cardiovascular,9576,0.9711022050591424
HISTORY__kidney,9310,0.9441271438074994
CUR_ILL__metabolic_endocrine,9293,0.9424031737275071
CUR_ILL__chronic_respiratory,8725,0.8848022910548262
OTHER_MEDS__immunosuppressant,7235,0.7337013840437443
LAB_DATA__cbc,6903,0.7000332624815433
PRIOR_VAX__prior_other_vax,6362,0.6451704499359089
LAB_DATA__cardiac_markers,6337,0.6426351998182733
CUR_ILL__autoimmune_inflammatory,5644,0.5723580665574143
LAB_DATA__coagulation,5415,0.5491351754798721
CUR_ILL__endocrine_thyroid,5406,0.5482224854375233
HISTORY__clotting,4978,0.5048190034236018
CUR_ILL__cancer_immunocompromised,4827,0.48950609271308265
LAB_DATA__inflammation,4523,0.4586774512826337
CUR_ILL__neuro_headache,4080,0.41375281919813084
PRIOR_VAX__prior_vax_reaction,3945,0.4000624685628985
ALLERGIES__anaphylaxis_history,3343,0.3390136457302332
CUR_ILL__neurologic,3099,0.3142696045821096
HISTORY__lymphatic_edema,1876,0.19024516882737583
CUR_ILL__lymphatic_edema,834,0.0845759439243238
